product_id,name,category,duration_minutes,stress_target,effectiveness,description,tags,price
A001,Guided Body Scan Meditation,Mindfulness,20,stress,high,Full body awareness meditation reduces physical tension and mental fatigue,meditation mindfulness body relaxation tension stress relief calm focus,20
A002,Mindful Breathing Exercise,Mindfulness,10,anxiety,high,Diaphragmatic breathing activates parasympathetic nervous system to calm anxiety,breathing mindfulness anxiety calm nervous quick relief diaphragm,10
A003,Progressive Muscle Relaxation,Mindfulness,25,stress,high,Systematically tense and release muscle groups to reduce physical stress response,muscle relaxation stress physical tension body release pmr progressive,25
A004,Loving-Kindness Meditation,Mindfulness,20,depression,high,Cultivate compassion and positive emotions toward self and others,meditation compassion kindness depression positivity self love warm,20
A005,Mindfulness App Session,Mindfulness,15,all,moderate,Guided mindfulness session using a digital app suitable for all beginners,mindfulness app guided beginner meditation digital calm daily all,15
A006,4-7-8 Breathing Technique,Mindfulness,10,anxiety,high,Structured breathing pattern that quickly reduces anxiety and promotes sleep onset,breathing anxiety sleep quick technique nervous calm 478 structure,10
A007,Grounding 5-4-3-2-1 Technique,Mindfulness,10,anxiety,high,Sensory grounding exercise to interrupt anxiety spirals and panic attacks,grounding anxiety panic sensory present moment awareness technique,10
A008,Morning Mindfulness Routine,Mindfulness,30,stress,high,Start your day with intention through meditation breathing and gratitude practice,morning routine stress meditation gratitude intention daily habit,30
A009,Mindful Walking,Mindfulness,20,all,moderate,Walk with full sensory awareness integrating movement and meditation practice,walking mindfulness movement outdoor awareness nature calm all gentle,20
A010,Zen Coloring / Mandala,Mindfulness,30,anxiety,moderate,Meditative coloring to focus the mind and quiet anxious overthinking,coloring mandala zen anxiety focus creative calming art pattern,30
A011,Yoga Nidra (Sleep Yoga),Mindfulness,45,stress,high,Deep guided relaxation at the threshold between wakefulness and sleep,yoga nidra sleep stress deep relaxation guided rest theta,45
A012,Visualization Meditation,Mindfulness,20,depression,moderate,Guided imagery to create positive mental experiences and elevate mood,visualization meditation depression mood positive imagery mental uplift,20
A013,Yoga (Beginner),Physical,30,all,high,Gentle yoga sequences combining postures breathwork and mindfulness for all levels,yoga beginner posture breathing flexibility mindfulness all gentle,30
A014,Yoga (Intermediate),Physical,45,stress,high,Dynamic yoga flow building strength flexibility and mental resilience,yoga intermediate flow strength flexibility stress mental resilience,45
A015,Morning Walk / Jog,Physical,30,depression,high,Aerobic exercise releases endorphins and serotonin to directly combat depression,walk jog exercise depression endorphin serotonin outdoor morning aerobic,30
A016,Stretching Routine,Physical,15,stress,moderate,Full-body stretching releases accumulated muscle tension and improves body awareness,stretching stress tension body flexibility quick daily release,15
A017,Dance Exercise / Zumba,Physical,45,depression,high,Upbeat dancing combining cardio and joy to powerfully boost mood and energy levels,dance zumba depression mood cardio fun energy upbeat rhythm joy,45
A018,Swimming,Physical,45,stress,high,Low-impact full-body exercise with meditative water effects for profound stress relief,swimming stress water exercise meditative low impact body float,45
A019,Cycling Outdoors,Physical,45,depression,moderate,Outdoor cycling combining physical activity with nature exposure and freedom,cycling outdoor exercise depression nature exposure cardio freedom,45
A020,HIIT Workout,Physical,30,stress,high,High-intensity interval training burns excess stress hormones and dramatically boosts mood,hiit workout stress cortisol burn intense cardio mood interval,30
A021,Nature Hike,Physical,90,all,high,Immersive nature experience combining aerobic exercise with forest therapy benefits,hike nature outdoor exercise forest therapy all mood restoration,90
A022,Tai Chi / Qigong,Physical,30,anxiety,high,Slow meditative movements balance energy and calm the overactivated nervous system,tai chi qigong anxiety meditation movement slow energy calm balance,30
A023,Gratitude Journaling,Creative,15,depression,high,Write three things you are grateful for to rewire persistent negative thought patterns,journaling gratitude depression positive thinking rewire habit daily,15
A024,Art Therapy,Creative,45,anxiety,high,Expressive art making externalizes anxiety and promotes healthy emotional processing,art therapy drawing painting anxiety expression emotion creative visual,45
A025,Music Listening (Playlist),Creative,30,all,moderate,Curated calming or uplifting music to regulate mood and lower stress arousal,music playlist calming uplifting mood stress regulation emotion all,30
A026,Creative Writing,Creative,45,depression,moderate,Storytelling and narrative writing to process emotions and reconstruct meaning,writing creative depression storytelling narrative emotion meaning process,45
A027,Photography Walk,Creative,60,all,moderate,Mindful photography combines outdoor movement with creative focus and presence,photography walk outdoor creative mindful focus nature all presence,60
A028,DIY Craft Project,Creative,60,anxiety,moderate,Hands-on creative work produces flow state that interrupts anxious rumination,craft diy anxiety hands creative flow state rumination make,60
A029,Playing Musical Instrument,Creative,30,stress,high,Active music making demands full attention providing a powerful stress relief valve,music instrument stress relief creative engagement attention focus play,30
A030,Cooking a New Recipe,Creative,60,depression,moderate,Mindful cooking engages all senses and delivers accomplishment to lift low mood,cooking recipe depression mindful sensory accomplishment mood new,60
A031,Call a Friend / Family,Social,20,depression,high,Social connection and verbal sharing is one of the most evidence-based antidepressants,social call friend family depression connection support sharing voice,20
A032,Group Support Session,Social,60,all,high,Structured peer support group providing shared experience validation and belonging,support group peer connection shared experience all therapy belonging,60
